EFT_Date,Reference,Period_Start,Period_End,Num_Days,Sum_Invoices,Consignment,Invoice_Variance,Gross_CC,CC_Fees,Fuelman_Gross,Fuelman_Fees,Expected_Draft,Actual_Draft,Difference,Direction,Invoice_Match,Settlement_Match,Notes
2026-03-16,D-119917-031626,2026-03-12,2026-03-17,,,13162.42,,30710.4,312.17,78.94,0.79,,17313.96,,,,,
2026-01-05,D-118321-010526,2026-01-01,2026-01-06,,,6705.32,,25600.78,265.75,76.18,0.76,,18705.13,,,,,
2026-01-06,D-118353-010626,2026-01-04,2026-01-07,,,2140.21,,6093.25,66.84,48.18,0.48,,3933.9,,,,,
2026-01-07,D-118384-010726,2026-01-05,2026-01-08,,,2191.85,,6660.09,70.61,136.17,1.36,,4532.44,,,,,
2026-01-08,D-118414-010826,2026-01-06,2026-01-09,,,2455.69,,7355.03,79.8,100.09,1.0,,4918.63,,,,,
2026-01-09,D-118448-010926,2026-01-07,2026-01-12,,,1977.42,,6888.36,74.63,0.0,0.0,,4836.31,,,,,
2026-01-12,D-118486-011226,2026-01-08,2026-01-13,,,6986.28,,22931.95,237.48,238.37,2.39,,15944.17,,,,,
2026-01-13,D-118514-011326,2026-01-11,2026-01-14,,,1974.2,,6086.5,61.54,0.0,0.0,,4050.76,,,,,
2026-01-14,D-118543-011426,2026-01-12,2026-01-15,,,2194.1,,6875.24,69.01,0.0,0.0,,4612.13,,,,,
2026-01-15,D-118569-011526,2026-01-13,2026-01-16,,,2056.8,,6805.05,70.28,0.0,0.0,,4677.97,,,,,
2026-01-16,D-118596-011626,2026-01-14,2026-01-20,,,2561.87,,8441.07,89.15,309.92,3.1,,6096.87,,,,,
2026-01-20,D-118660-012026,2025-12-01,2026-01-21,,,9307.35,,29737.01,313.78,239.32,2.4,,20352.8,,,,,
2026-01-21,D-118682-012126,2026-01-19,2026-01-22,,,2069.8,,6176.93,65.68,214.3,2.15,,4253.6,,,,,
2026-01-22,D-118714-012226,2026-01-20,2026-01-23,,,2102.14,,7364.69,76.93,43.22,0.43,,5228.41,,,,,
2026-01-23,D-118741-012326,2026-01-21,2026-01-26,,,1876.19,,6873.09,72.95,44.95,0.45,,4968.45,,,,,
2026-01-26,D-118776-012626,2026-01-22,2026-01-27,,,6628.83,,19494.75,204.71,352.9,3.54,,13010.57,,,,,
2026-01-27,D-118803-012726,2026-01-25,2026-01-28,,,1072.25,,5050.92,50.96,65.56,0.66,,3992.61,,,,,
2026-01-28,D-118827-012826,2026-01-05,2026-01-29,,,882.01,,3979.36,40.65,46.28,0.47,,3102.51,,,,,
2026-01-29,D-118844-012926,2026-01-27,2026-01-30,,,2102.32,,6005.25,66.12,0.0,0.0,,3836.81,,,,,
2026-01-30,D-118871-013026,2026-01-28,2026-02-02,,,2160.55,,5527.39,59.64,231.09,2.31,,3535.98,,,,,
2026-02-02,D-118914-020226,2026-01-27,2026-02-03,,,6508.04,,23737.66,345.88,359.7,3.6,,17239.84,,,,,
2026-02-03,D-118943-020326,2026-02-01,2026-02-04,,,1632.41,,5515.57,58.37,82.18,0.82,,3906.15,,,,,
2026-02-04,D-118977-020426,2026-02-02,2026-02-05,,,2287.3,,6363.37,70.41,26.21,0.26,,4031.61,,,,,
2026-02-05,D-119011-020526,2026-02-03,2026-02-06,,,2268.44,,7010.39,74.69,0.0,0.0,,4667.26,,,,,
2026-02-06,D-119039-020626,2026-02-04,2026-02-09,,,1914.55,,6876.46,72.87,113.04,1.13,,5000.95,,,,,
2026-02-09,D-119076-020926,2026-02-05,2026-02-10,,,7697.17,,23150.63,245.92,186.46,1.87,,15392.13,,,,,
2026-02-10,D-119109-021026,2026-02-08,2026-02-11,,,2064.26,,5223.31,52.18,55.28,0.56,,3161.59,,,,,
2026-02-11,D-119145-021126,2026-02-09,2026-02-12,,,2074.7,,6169.4,65.34,49.0,0.49,,4077.87,,,,,
2026-02-12,D-119170-021226,2026-02-10,2026-02-13,,,1841.54,,5988.32,64.23,13.25,0.14,,4095.66,,,,,
2026-02-13,D-119195-021326,2026-02-11,2026-02-17,,,2498.93,,7770.92,79.56,72.19,0.72,,5263.9,,,,,
2026-02-17,D-119267-021726,2026-02-12,2026-02-18,,,8543.77,,28207.72,294.65,99.62,1.01,,19467.91,,,,,
2026-02-18,D-119295-021826,2026-02-16,2026-02-19,,,1824.4,,5155.09,55.77,103.75,1.04,,3377.63,,,,,
2026-02-19,D-119318-021926,2026-02-17,2026-02-20,,,2125.01,,6908.43,71.09,191.34,1.92,,4901.75,,,,,
2026-02-20,D-119355-022026,2026-02-18,2026-02-23,,,2159.78,,6846.88,72.75,21.44,0.22,,4635.57,,,,,
2026-02-23,D-119391-022326,2026-02-19,2026-02-24,,,7386.66,,24637.18,261.2,28.28,0.29,,17017.31,,,,,
2026-02-24,D-119426-022426,2026-02-22,2026-02-25,,,1917.4,,6143.25,64.11,0.0,0.0,,4161.74,,,,,
2026-02-25,D-119453-022526,2026-02-23,2026-02-26,,,2591.71,,6680.21,74.45,70.07,0.7,,4083.42,,,,,
2026-02-26,D-119480-022626,2026-02-24,2026-02-27,,,2363.83,,7673.47,78.24,187.51,1.88,,5417.03,,,,,
2026-03-02,D-119555-030226,2026-02-01,2026-03-03,,,10457.56,,33519.61,409.27,218.68,2.19,,22869.27,,,,,
2026-03-03,D-119578-030326,2026-03-01,2026-03-04,,,2145.57,,7007.3,73.5,0.0,0.0,,4788.23,,,,,
2026-03-05,D-119652-030526,2026-03-02,2026-03-06,,,4139.04,,14177.27,155.24,42.0,0.42,,9924.57,,,,,
2026-03-06,D-119691-030626,2026-03-04,2026-03-09,,,2927.38,,8527.91,93.27,50.5,0.51,,5557.25,,,,,
2026-03-09,D-119738-030926,2026-03-05,2026-03-10,,,9300.08,,24222.82,258.55,0.0,0.0,,14664.19,,,,,
2026-03-10,D-119774-031026,2026-03-06,2026-03-11,,,2594.65,,7271.14,70.1,149.69,1.5,,4754.58,,,,,
2026-03-11,D-119808-031126,2026-03-09,2026-03-12,,,2476.5,,7017.22,73.62,92.65,0.93,,4558.82,,,,,
2026-03-12,D-119843-031226,2026-03-10,2026-03-13,,,2930.2,,6891.7,72.18,38.83,0.39,,3927.76,,,,,
2026-03-13,D-119873-031326,2026-03-11,2026-03-16,,,2827.02,,7931.53,81.54,60.41,0.61,,5082.77,,,,,
2026-03-17,D-119947-031726,2026-03-15,2026-03-18,,,4281.99,,8434.57,87.94,0.0,0.0,,4064.64,,,,,
